Ингредиент,Единица измерения,Калорийность
Перец острый свежий,кг,19.8
Перловая крупа,кг,313.1
Персик консервированный,кг,80.8
Персики свежие,кг,42.5
Перчики Халапеньо в панировке с/м,кг,181.3
Петрушка (корень),кг,53.4
Печень трески,кг,612.9
Печенье витаминизированное,кг,467.9
Печенье сахарное Вафельное,кг,463.2
Печенье сахарное из муки высшего сорта,кг,433.8
Пиво Асахи,кг,14.0
Пиво Кирин,кг,12.8
Пиво светлое,л,1.2
Пита белая,кг,268.5
Питахайя,кг,58.5
Повидло яблочное,кг,262.8
Подсолнечник (семена),кг,572.5
Полуфабрикаты к пиву Mc Cain (луковые кольца, наггетсы...),кг,209.2
Помидоры,кг,21.4
Помидоры без кожицы в собственном соку,кг,11.2
Помидоры соленые,кг,11.7
Помидоры сушеные (в оливковом масле),кг,240.3
Помидоры черри,кг,21.4
Помидоры черри маринованные,кг,11.7
Поросята целые (потрошенные обработанные),кг,109.4
Премикс Флорентинер (Аналог Бинекса),кг,483.0
Простокваша обыкновенная,кг,56.4
Профитроли с соусом, замороженные,кг,351.7
Пряники заварные,кг,355.2
Пшеничная крупа,кг,341.7
Пшенная крупа,кг,352.9
Пюре Кокос с/м,кг,657.4
Пюре Манго с/м,кг,61.0
Пюре Маракуйя с/м,кг,37.2
Пюре Папайя с/м,кг,38.1
Пюре Фруктовое с/м,кг,40.5
Разнорыбица (набор для ухи),кг,108.3
Раки средние,кг,89.0
Раковые шейки,кг,96.4
Ракушки Вонголе с/м,кг,49.9
Рассол огуречный,кг,12.0
Ревень (черешки),кг,13.7
Редис,кг,20.9
Редис белый с ботвой,кг,19.3
Редька,кг,35.4
Редька Маринованная Такуан,кг,30.5
Репа,кг,27.2
Рис,кг,277.8
Рис Дикий,кг,348.5
Рис для суши,кг,277.8
Рисовая бумага (для спринг роллов),шт,332.8
Рисовая крупа,кг,322.6
Ром светлый,л,0.0
Ром темный,кг,0.0
Ростки Фасоли Мунго,кг,37.5
Рыбец вяленый,кг,151.2
Рыбное филе панированное,кг,134.5
Рыбный бульон Даси Пак,кг,362.5
Рыбный бульон Хондаши сухой,кг,125.0
Рябина (садовая),кг,40.9
Рябина черноплодная,кг,50.5
Рябчик,кг,254.0
Ряженка 6% жирности,кг,82.4
Ряпушка спинки вяленые,кг,271.0
Савоярди (бисквитные палочки),кг,389.8
Сайра консервированная в с/соку,кг,135.8
Саке,л,22.0
Салака копченая,кг,152.0
Салат Айсберг,кг,13.1
Салат Корн,кг,17.0
Салат Латук,кг,32.8
Салат Лолло - Бьянко,кг,32.8
Салат Лолло - Россо,кг,32.8
Салат Радичио,кг,21.0
Салат Романо,кг,32.8
Салат Фризе,кг,32.8
Салат Чука (готовый, с/м),кг,142.0
Сарган,кг,82.1
Сардельки говяжьи,кг,215.4
Сардельки свиные,кг,332.4
Сахар Ванильный,кг,399.2
Сахар тростниковый,кг,394.5
Сахар-песок,кг,399.2
Сахар-рафинад,кг,399.6
Сахарин,кг,399.6
Сахарная пудра,кг,399.6
Свекла,кг,43.3
Свеклы листья,кг,32.8
Свинина Мякоть,кг,304.8
Свинина вырезка,кг,141.5
Свинина задняя нога н/к,кг,234.4
Свинина корейка,кг,383.3
Свинина лопатка (или окорок) на кости,кг,383.3
Свинина печень,кг,104.9
Свинина почки,кг,92.4
Свинина ребра,кг,384.2
Свинина рулька (на кости),кг,383.3
Свинина сыровяленная,кг,605.3
Свинина уши,кг,210.9
Свинина шея,кг,383.3
Свиные уши копченые,кг,167.0
Севрюга,кг,160.3
Сельдерей (зелень, стебли),кг,8.0
Сельдерей (корень),кг,32.3
Сельдь с/м,кг,246.3
Сельдь среднесоленая,кг,144.5
Сибасс (морской волк) тушка,кг,102.5
Сироп Ананас,кг,252.8
Сироп Ваниль,кг,252.8
Сироп Гренадин,кг,252.8
Сироп Кленовый,кг,228.0
Сироп Клубничный,кг,252.8
Сироп Кокос,кг,252.8
Сироп Кюрасао,кг,252.8
Сироп Лайм,кг,252.8
Сироп Лесной орех,кг,252.8
Сироп Малиновый,кг,252.8
Сироп Манго,кг,252.8
Сироп Маракуйя,кг,252.8
Сироп Мятный,кг,252.8
Сироп Черная Смородина,кг,252.8
Сироп Яблочный,кг,252.8
Сироп сахарный,кг,252.8
Скумбрия атлантическая обезглавленная,кг,151.2
Скумбрия копченая,кг,151.2
Слива,кг,41.6
Сливки взбитые аэрозольные,кг,311.0
Сливки из коровьего молока 10% жирности,кг,118.0
Сливки из коровьего молока 20% жирности,кг,206.0
Сливки из коровьего молока 33% жирности,кг,319.0
Сливки растительные без сахара,кг,264.8
Сливки растительные кондитерские с сахаром,кг,299.8
Сливки сухие,кг,581.5
Сливы маринованные,кг,55.2
